Time,Idut,Vdut,I1
0,0,0,0
1E-11,0.0006888,0.01057,0.00002313
2E-11,0.001418,0.02678,0.00004796
5E-11,0.003435,0.1413,0.0001207
7.72E-11,0.005366,0.3391,0.0002073
8.064E-11,0.00562,0.3721,0.0002199
8.695E-11,0.006129,0.4362,0.0002491
1.059E-10,0.007777,0.6713,0.0003448
1.326E-10,0.01184,1.065,0.002414
1.339E-10,0.01216,1.085,0.002727
1.374E-10,0.01307,1.135,0.003449
1.479E-10,0.01612,1.291,0.004494
1.618E-10,0.02026,1.55,0.005572
1.836E-10,0.02688,2.114,0.007445
2.202E-10,0.03804,3.566,0.01038
2.827E-10,0.0562,7.957,0.01524
3.721E-10,0.07822,19.43,0.02254
5.051E-10,0.1643,42.95,0.1172
5.113E-10,0.1722,43.95,0.13
5.26E-10,0.1969,46.04,0.1661
5.703E-10,0.3281,49.13,0.3231
6.171E-10,0.5221,48.62,0.5289
6.617E-10,0.7104,46.61,0.7192
7.399E-10,0.9772,42.59,0.9864
7.913E-10,1.102,40.16,1.109
8.822E-10,1.241,36.63,1.248
0.000000001,1.496,25.2,1.524
1.009E-09,1.57,21.51,1.647
1.016E-09,1.628,18.59,1.729
1.017E-09,1.64,18,1.737
1.02E-09,1.668,16.59,1.76
1.028E-09,1.742,12.9,1.831
1.038E-09,1.859,7.063,1.994
1.038E-09,1.866,6.71,2.022
1.039E-09,1.885,5.757,2.112
1.039E-09,1.889,5.544,2.134
1.04E-09,1.899,5.061,2.188
1.041E-09,1.938,3.12,2.469
1.041E-09,1.94,2.981,2.485
1.041E-09,1.947,2.653,2.534
1.042E-09,1.968,1.593,2.707
1.042E-09,1.969,1.527,2.702
1.042E-09,1.972,1.395,2.697
1.042E-09,1.98,1.025,2.67
1.042E-09,1.98,0.9842,2.657
1.042E-09,1.983,0.8701,2.599
1.042E-09,1.983,0.851,2.581
1.042E-09,1.984,0.8056,2.42
1.042E-09,1.984,0.8013,2.385
1.042E-09,1.984,0.7912,2.279
1.043E-09,1.984,0.7801,2.071
1.043E-09,1.984,0.7779,1.958
1.043E-09,1.984,0.7756,1.908
1.043E-09,1.984,0.7754,1.894
1.043E-09,1.985,0.775,1.891
1.043E-09,1.985,0.7747,1.888
1.044E-09,1.985,0.7738,1.884
1.045E-09,1.985,0.7728,1.878
1.045E-09,1.985,0.7715,1.873
1.046E-09,1.985,0.7702,1.865
1.047E-09,1.985,0.7686,1.857
1.048E-09,1.985,0.7668,1.843
1.05E-09,1.985,0.7646,1.827
1.053E-09,1.985,0.7621,1.799
1.057E-09,1.985,0.7589,1.751
1.065E-09,1.985,0.7547,1.641
1.08E-09,1.985,0.7489,1.408
1.081E-09,1.985,0.7482,1.381
1.084E-09,1.985,0.7461,1.298
1.085E-09,1.985,0.7457,1.281
1.086E-09,1.985,0.7445,1.234
1.092E-09,1.985,0.7419,1.131
1.092E-09,1.985,0.7416,1.119
1.095E-09,1.985,0.7409,1.09
1.102E-09,1.985,0.7396,1.036
1.118E-09,1.985,0.7387,0.9874
1.144E-09,1.985,0.7384,0.9653
1.168E-09,1.985,0.7383,0.9605
1.202E-09,1.985,0.7384,0.9585
1.251E-09,1.985,0.7384,0.958
1.307E-09,1.985,0.7385,0.9584
1.355E-09,1.985,0.7386,0.959
1.401E-09,1.985,0.7386,0.9596
1.455E-09,1.985,0.7387,0.9604
1.526E-09,1.985,0.7387,0.9614
1.618E-09,1.985,0.7388,0.9625
1.735E-09,1.985,0.7389,0.9638
1.888E-09,1.985,0.7389,0.9653
2.103E-09,1.985,0.739,0.9674
2.438E-09,1.985,0.7392,0.9707
3.058E-09,1.985,0.7394,0.9764
3.552E-09,1.985,0.7396,0.9798
3.904E-09,1.985,0.7396,0.9812
4.247E-09,1.985,0.7396,0.9807
4.583E-09,1.985,0.7395,0.9781
4.969E-09,1.985,0.7393,0.9731
5.483E-09,1.985,0.7391,0.9659
6.483E-09,1.985,0.7387,0.9573
7.483E-09,1.985,0.7387,0.9548
8.483E-09,1.985,0.7386,0.9542
9.483E-09,1.985,0.7386,0.954
1.048E-08,1.985,0.7386,0.954
1.148E-08,1.985,0.7386,0.9537
1.229E-08,1.985,0.7386,0.9521
1.297E-08,1.985,0.7382,0.9419
0.000000013,1.985,0.7381,0.9405
1.307E-08,1.985,0.738,0.9374
1.327E-08,1.985,0.7374,0.9195
1.346E-08,1.985,0.7351,0.8505
1.347E-08,1.985,0.7347,0.8405
1.35E-08,1.985,0.7338,0.8116
1.358E-08,1.985,0.7286,0.6584
1.365E-08,1.986,0.7243,0.5574
1.365E-08,1.986,0.724,0.5525
1.367E-08,1.986,0.7235,0.5422
1.371E-08,1.986,0.7225,0.5228
1.371E-08,1.986,0.7224,0.5216
1.373E-08,1.986,0.7222,0.518
1.376E-08,1.986,0.7217,0.5074
1.377E-08,1.986,0.7216,0.5062
1.378E-08,1.986,0.7214,0.5029
1.382E-08,1.986,0.721,0.4958
1.391E-08,1.986,0.7207,0.4899
1.404E-08,1.986,0.7206,0.4879
1.423E-08,1.986,0.7206,0.4879
1.448E-08,1.986,0.7206,0.4885
1.481E-08,1.986,0.7207,0.4895
1.53E-08,1.986,0.7207,0.4909
1.611E-08,1.986,0.7208,0.4927
1.652E-08,1.986,0.7209,0.4931
1.695E-08,1.986,0.7208,0.4927
1.734E-08,1.986,0.7208,0.4914
1.778E-08,1.986,0.7206,0.489
1.837E-08,1.986,0.7205,0.4858
1.937E-08,1.986,0.7203,0.4825
2.037E-08,1.986,0.7202,0.4814
2.137E-08,1.986,0.7202,0.4811
2.237E-08,1.986,0.7202,0.481
2.337E-08,1.986,0.7202,0.481
2.437E-08,1.986,0.7202,0.481
2.537E-08,1.986,0.7202,0.481
2.637E-08,1.986,0.7202,0.4807
2.718E-08,1.986,0.7201,0.4798
2.791E-08,1.986,0.7199,0.4756
2.796E-08,1.986,0.7199,0.4751
2.804E-08,1.986,0.7198,0.4739
2.828E-08,1.986,0.7195,0.4674
2.853E-08,1.986,0.7184,0.4472
2.855E-08,1.986,0.7182,0.4446
2.859E-08,1.986,0.7178,0.4371
2.87E-08,1.986,0.7156,0.4004
2.881E-08,1.986,0.713,0.3622
2.882E-08,1.986,0.7129,0.3598
2.885E-08,1.986,0.7124,0.3544
2.892E-08,1.986,0.7116,0.3442
2.903E-08,1.986,0.7111,0.3386
2.904E-08,1.986,0.7111,0.3385
2.906E-08,1.986,0.7111,0.3382
2.915E-08,1.986,0.711,0.3369
2.916E-08,1.986,0.711,0.3367
2.919E-08,1.986,0.7109,0.336
2.928E-08,1.986,0.7107,0.3331
2.929E-08,1.986,0.7107,0.3326
2.934E-08,1.986,0.7106,0.3314
2.946E-08,1.986,0.7104,0.329
2.981E-08,1.986,0.7102,0.3275
3.021E-08,1.986,0.7103,0.3276
3.077E-08,1.986,0.7103,0.3281
3.153E-08,1.986,0.7104,0.3289
3.195E-08,1.986,0.7104,0.3291
3.238E-08,1.986,0.7104,0.3287
3.28E-08,1.986,0.7103,0.3279
3.328E-08,1.986,0.7102,0.3265
3.393E-08,1.986,0.71,0.3245
3.493E-08,1.986,0.7099,0.3228
3.593E-08,1.986,0.7098,0.3222
3.693E-08,1.986,0.7098,0.322
3.793E-08,1.986,0.7098,0.322
3.893E-08,1.986,0.7098,0.322
3.993E-08,1.986,0.7098,0.322
4.093E-08,1.986,0.7098,0.322
4.193E-08,1.986,0.7098,0.322
4.293E-08,1.986,0.7098,0.3219
4.383E-08,1.986,0.7098,0.3216
4.466E-08,1.986,0.7097,0.3207
4.543E-08,1.986,0.7094,0.3165
4.548E-08,1.986,0.7093,0.316
4.557E-08,1.986,0.7092,0.3148
4.584E-08,1.986,0.7086,0.3075
4.609E-08,1.986,0.707,0.2879
4.635E-08,1.986,0.7045,0.261
4.637E-08,1.986,0.7043,0.2598
4.641E-08,1.986,0.7041,0.2574
4.653E-08,1.986,0.7036,0.2536
4.672E-08,1.986,0.7035,0.2524
0.000000047,1.986,0.7034,0.2517
4.702E-08,1.986,0.7034,0.2515
4.709E-08,1.986,0.7033,0.2509
4.73E-08,1.986,0.7031,0.2487
4.733E-08,1.986,0.7031,0.2484
4.743E-08,1.986,0.703,0.2477
4.772E-08,1.986,0.7029,0.2467
4.839E-08,1.986,0.7029,0.2465
4.92E-08,1.986,0.7029,0.2469
4.964E-08,1.986,0.7029,0.247
5.01E-08,1.986,0.7029,0.2468
5.053E-08,1.986,0.7028,0.2462
5.104E-08,1.986,0.7027,0.2452
5.172E-08,1.986,0.7026,0.2439
5.272E-08,1.986,0.7025,0.2428
5.372E-08,1.986,0.7024,0.2424
5.472E-08,1.986,0.7024,0.2422
5.572E-08,1.986,0.7024,0.2422
5.672E-08,1.986,0.7024,0.2422
5.772E-08,1.986,0.7024,0.2422
5.872E-08,1.986,0.7024,0.2422
5.972E-08,1.986,0.7024,0.2422
6.072E-08,1.986,0.7024,0.2422
6.172E-08,1.986,0.7024,0.2421
6.271E-08,1.986,0.7024,0.242
6.363E-08,1.986,0.7024,0.2416
6.452E-08,1.986,0.7022,0.2404
6.537E-08,1.986,0.7015,0.2333
6.541E-08,1.986,0.7013,0.2323
6.55E-08,1.986,0.7011,0.23
6.576E-08,1.986,0.6998,0.2184
6.598E-08,1.986,0.6985,0.2074
0.000000066,1.986,0.6984,0.2068
6.605E-08,1.986,0.6982,0.2053
6.62E-08,1.986,0.6978,0.2027
6.642E-08,1.986,0.6976,0.2016
6.677E-08,1.986,0.6976,0.2015
6.724E-08,1.986,0.6975,0.2006
6.728E-08,1.986,0.6975,0.2004
6.74E-08,1.986,0.6974,0.1998
6.776E-08,1.986,0.6972,0.1982
6.781E-08,1.986,0.6972,0.1981
6.796E-08,1.986,0.6971,0.1979
6.84E-08,1.986,0.6971,0.1976
6.928E-08,1.986,0.6971,0.1977
6.98E-08,1.986,0.6971,0.1977
7.034E-08,1.986,0.6971,0.1973
7.086E-08,1.986,0.697,0.1967
7.151E-08,1.986,0.6969,0.1957
7.251E-08,1.986,0.6967,0.1948
7.351E-08,1.986,0.6967,0.1944
7.451E-08,1.986,0.6967,0.1942
7.551E-08,1.986,0.6967,0.1942
7.651E-08,1.986,0.6967,0.1942
7.751E-08,1.986,0.6967,0.1941
7.851E-08,1.986,0.6967,0.1941
7.951E-08,1.986,0.6967,0.1941
8.051E-08,1.986,0.6967,0.1941
8.151E-08,1.986,0.6967,0.1941
8.251E-08,1.986,0.6966,0.1941
8.351E-08,1.986,0.6966,0.1941
8.451E-08,1.986,0.6966,0.194
8.457E-08,1.986,0.6966,0.194
8.471E-08,1.986,0.6966,0.194
8.513E-08,1.986,0.6966,0.1938
8.516E-08,1.986,0.6966,0.1938
8.52E-08,1.986,0.6966,0.1938
8.52E-08,1.986,0.6966,0.1938
8.522E-08,1.986,0.6966,0.1938
8.527E-08,1.986,0.6966,0.1938
8.528E-08,1.986,0.6966,0.1938
8.529E-08,1.986,0.6966,0.1938
8.53E-08,1.986,0.6966,0.1938
8.531E-08,1.986,0.6966,0.1936
8.531E-08,1.986,0.6966,0.1936
8.531E-08,1.986,0.6966,0.1934
8.531E-08,1.986,0.6966,0.1933
8.531E-08,1.986,0.6965,0.1932
8.532E-08,1.986,0.6965,0.1931
8.534E-08,1.986,0.6965,0.1931
8.536E-08,1.986,0.6965,0.1931
8.539E-08,1.986,0.6965,0.193
8.55E-08,1.986,0.6965,0.1929
8.583E-08,1.986,0.6964,0.192
8.589E-08,1.986,0.6963,0.1918
8.607E-08,1.986,0.6962,0.1908
8.662E-08,1.986,0.6932,0.1691
8.665E-08,1.986,0.6928,0.1669
8.676E-08,1.986,0.6924,0.1646
8.678E-08,1.986,0.6924,0.1646
8.684E-08,1.986,0.6924,0.165
8.702E-08,1.986,0.6925,0.1655
8.742E-08,1.986,0.6925,0.1654
8.79E-08,1.986,0.6925,0.1655
8.885E-08,1.986,0.6925,0.1655
8.985E-08,1.986,0.6925,0.1655
9.085E-08,1.986,0.6925,0.1655
9.185E-08,1.986,0.6925,0.1655
9.285E-08,1.986,0.6925,0.1655
9.385E-08,1.986,0.6925,0.1655
9.485E-08,1.986,0.6925,0.1655
9.585E-08,1.986,0.6925,0.1655
9.685E-08,1.986,0.6925,0.1655
9.785E-08,1.986,0.6925,0.1655
9.885E-08,1.986,0.6925,0.1655
9.985E-08,1.986,0.6925,0.1655
1.009E-07,1.986,0.6925,0.1655
1.019E-07,1.986,0.6925,0.1655
1.029E-07,1.986,0.6925,0.1655
1.039E-07,1.986,0.6925,0.1655
1.049E-07,1.986,0.6925,0.1655
1.059E-07,1.986,0.6925,0.1655
1.069E-07,1.986,0.6925,0.1655
1.079E-07,1.986,0.6925,0.1655
1.089E-07,1.986,0.6925,0.1655
1.099E-07,1.986,0.6925,0.1655
1.109E-07,1.986,0.6925,0.1655
1.119E-07,1.986,0.6925,0.1655
1.129E-07,1.986,0.6925,0.1655
1.139E-07,1.986,0.6925,0.1655
1.149E-07,1.986,0.6925,0.1655
1.159E-07,1.986,0.6925,0.1655
1.169E-07,1.986,0.6925,0.1655
1.179E-07,1.986,0.6925,0.1655
1.189E-07,1.986,0.6925,0.1655
1.199E-07,1.986,0.6925,0.1655
1.209E-07,1.986,0.6925,0.1655
1.219E-07,1.986,0.6925,0.1655
1.229E-07,1.986,0.6925,0.1655
1.239E-07,1.986,0.6925,0.1655
1.249E-07,1.986,0.6925,0.1655
1.259E-07,1.986,0.6925,0.1655
1.269E-07,1.986,0.6925,0.1655
1.279E-07,1.986,0.6925,0.1655
1.289E-07,1.986,0.6925,0.1655
1.299E-07,1.986,0.6925,0.1655
1.309E-07,1.986,0.6925,0.1655
1.319E-07,1.986,0.6925,0.1655
1.329E-07,1.986,0.6925,0.1655
1.339E-07,1.986,0.6925,0.1655
1.349E-07,1.986,0.6925,0.1655
1.359E-07,1.986,0.6925,0.1655
1.369E-07,1.986,0.6925,0.1655
1.379E-07,1.986,0.6925,0.1655
1.389E-07,1.986,0.6925,0.1655
1.399E-07,1.986,0.6925,0.1655
1.409E-07,1.986,0.6925,0.1655
1.419E-07,1.986,0.6925,0.1655
1.429E-07,1.986,0.6925,0.1655
1.439E-07,1.986,0.6925,0.1655
1.449E-07,1.986,0.6925,0.1655
1.459E-07,1.986,0.6925,0.1655
1.469E-07,1.986,0.6925,0.1655
1.479E-07,1.986,0.6925,0.1655
1.489E-07,1.986,0.6925,0.1655
1.499E-07,1.986,0.6925,0.1655
1.509E-07,1.986,0.6925,0.1655
1.519E-07,1.986,0.6925,0.1655
1.529E-07,1.986,0.6925,0.1655
1.539E-07,1.986,0.6925,0.1655
1.549E-07,1.986,0.6925,0.1655
1.559E-07,1.986,0.6925,0.1655
1.569E-07,1.986,0.6925,0.1655
1.579E-07,1.986,0.6925,0.1655
1.589E-07,1.986,0.6925,0.1655
1.599E-07,1.986,0.6925,0.1655
1.609E-07,1.986,0.6925,0.1655
1.619E-07,1.986,0.6925,0.1655
1.629E-07,1.986,0.6925,0.1655
1.639E-07,1.986,0.6925,0.1655
1.649E-07,1.986,0.6925,0.1655
1.659E-07,1.986,0.6925,0.1655
1.669E-07,1.986,0.6925,0.1655
1.679E-07,1.986,0.6925,0.1655
1.689E-07,1.986,0.6925,0.1655
1.699E-07,1.986,0.6925,0.1655
1.709E-07,1.986,0.6925,0.1655
1.719E-07,1.986,0.6925,0.1655
1.729E-07,1.986,0.6925,0.1655
1.739E-07,1.986,0.6925,0.1655
1.749E-07,1.986,0.6925,0.1655
1.759E-07,1.986,0.6925,0.1655
1.769E-07,1.986,0.6925,0.1655
1.779E-07,1.986,0.6925,0.1655
1.789E-07,1.986,0.6925,0.1655
1.799E-07,1.986,0.6925,0.1655
1.809E-07,1.986,0.6925,0.1655
1.819E-07,1.986,0.6925,0.1655
1.829E-07,1.986,0.6925,0.1655
1.839E-07,1.986,0.6925,0.1655
1.849E-07,1.986,0.6925,0.1655
1.859E-07,1.986,0.6925,0.1655
1.869E-07,1.986,0.6925,0.1655
1.879E-07,1.986,0.6925,0.1655
1.889E-07,1.986,0.6925,0.1655
1.899E-07,1.986,0.6925,0.1655
1.909E-07,1.986,0.6925,0.1655
1.919E-07,1.986,0.6925,0.1655
1.929E-07,1.986,0.6925,0.1655
1.939E-07,1.986,0.6925,0.1655
1.949E-07,1.986,0.6925,0.1655
1.959E-07,1.986,0.6925,0.1655
1.969E-07,1.986,0.6925,0.1655
1.979E-07,1.986,0.6925,0.1655
1.989E-07,1.986,0.6925,0.1655
1.999E-07,1.986,0.6925,0.1655
2.009E-07,1.986,0.6925,0.1655
2.019E-07,1.986,0.6925,0.1655
2.029E-07,1.986,0.6925,0.1655
2.039E-07,1.986,0.6925,0.1655
2.049E-07,1.986,0.6925,0.1655
2.059E-07,1.986,0.6925,0.1655
2.069E-07,1.986,0.6925,0.1655
2.079E-07,1.986,0.6925,0.1655
2.089E-07,1.986,0.6925,0.1655
2.099E-07,1.986,0.6925,0.1655
2.109E-07,1.986,0.6925,0.1655
2.119E-07,1.986,0.6925,0.1655
2.129E-07,1.986,0.6925,0.1655
2.139E-07,1.986,0.6925,0.1655
2.149E-07,1.986,0.6925,0.1655
2.159E-07,1.986,0.6925,0.1655
2.169E-07,1.986,0.6925,0.1655
2.179E-07,1.986,0.6925,0.1655
2.189E-07,1.986,0.6925,0.1655
2.199E-07,1.986,0.6925,0.1655
2.209E-07,1.986,0.6925,0.1655
2.219E-07,1.986,0.6925,0.1655
2.229E-07,1.986,0.6925,0.1655
2.239E-07,1.986,0.6925,0.1655
2.249E-07,1.986,0.6925,0.1655
2.259E-07,1.986,0.6925,0.1655
2.269E-07,1.986,0.6925,0.1655
2.279E-07,1.986,0.6925,0.1655
2.289E-07,1.986,0.6925,0.1655
2.299E-07,1.986,0.6925,0.1655
2.309E-07,1.986,0.6925,0.1655
2.319E-07,1.986,0.6925,0.1655
2.329E-07,1.986,0.6925,0.1655
2.339E-07,1.986,0.6925,0.1655
2.349E-07,1.986,0.6925,0.1655
2.359E-07,1.986,0.6925,0.1655
2.369E-07,1.986,0.6925,0.1655
2.379E-07,1.986,0.6925,0.1655
2.389E-07,1.986,0.6925,0.1655
2.399E-07,1.986,0.6925,0.1655
2.409E-07,1.986,0.6925,0.1655
2.419E-07,1.986,0.6925,0.1655
2.429E-07,1.986,0.6925,0.1655
2.439E-07,1.986,0.6925,0.1655
2.449E-07,1.986,0.6925,0.1655
2.459E-07,1.986,0.6925,0.1655
2.469E-07,1.986,0.6925,0.1655
2.479E-07,1.986,0.6925,0.1655
2.489E-07,1.986,0.6925,0.1655
2.499E-07,1.986,0.6925,0.1655
2.509E-07,1.986,0.6925,0.1655
0.000000251,1.986,0.6925,0.1655
0.000000251,1.981,0.6924,0.1651
2.512E-07,1.925,0.6918,0.1605
2.516E-07,0.6904,0.6694,0.06111
0.000000252,-0.01258,0.6292,0.009669
2.521E-07,-0.0125,0.6252,0.008614
2.523E-07,-0.01229,0.6145,0.006168
0.000000253,-0.0118,0.5901,0.002641
0.000000254,-0.01125,0.5623,0.0009514
0.000000255,-0.01074,0.5368,0.0003601
0.000000256,-0.01024,0.5118,0.000136
0.000000257,-0.009745,0.4872,0.00005202
0.000000258,-0.009269,0.4635,0.00002032
0.000000259,-0.008812,0.4406,0.000008295
0.00000026,-0.008374,0.4187,0.000003413
0.000000261,-0.007956,0.3978,0.000001537
0.000000262,-0.007558,0.3779,0.000000595
0.000000263,-0.00718,0.359,0.000000312
0.000000264,-0.006821,0.341,4.228E-08
0.000000265,-0.00648,0.324,5.405E-08
0.000000266,-0.006156,0.3078,-7.884E-08
0.000000267,-0.005849,0.2925,-3.459E-09
0.000000268,-0.005558,0.2779,-1.031E-07
0.000000269,-0.005283,0.2641,-1.301E-08
0.00000027,-0.005021,0.2511,-1.029E-07
0.000000271,-0.004774,0.2387,-1.008E-08
0.000000272,-0.004539,0.227,-9.624E-08
0.000000273,-0.004317,0.2159,-4.12E-09
0.000000274,-0.004107,0.2053,-8.813E-08
0.000000275,-0.003908,0.1954,2.145E-09
0.000000276,-0.003719,0.186,-8.011E-08
0.000000277,-0.003541,0.177,7.882E-09
0.000000278,-0.003372,0.1686,-7.263E-08
0.000000279,-0.003212,0.1606,1.287E-08
0.00000028,-0.003061,0.153,-6.581E-08
0.000000281,-0.002917,0.1459,1.707E-08
0.000000282,-0.002782,0.1391,-5.962E-08
0.000000283,-0.002653,0.1327,2.055E-08
0.000000284,-0.002532,0.1266,-5.403E-08
0.000000285,-0.002417,0.1208,2.336E-08
0.000000286,-0.002308,0.1154,-4.896E-08
0.000000287,-0.002205,0.1103,2.557E-08
0.000000288,-0.002108,0.1054,-4.437E-08
0.000000289,-0.002016,0.1008,2.726E-08
0.00000029,-0.001929,0.09646,-4.02E-08
0.000000291,-0.001847,0.09233,2.85E-08
0.000000292,-0.001769,0.08844,-3.64E-08
0.000000293,-0.001695,0.08474,2.932E-08
0.000000294,-0.001625,0.08126,-3.293E-08
0.000000295,-0.001559,0.07795,2.98E-08
0.000000296,-0.001497,0.07484,-2.976E-08
0.000000297,-0.001437,0.07187,2.998E-08
0.000000298,-0.001382,0.06908,-2.686E-08
0.000000299,-0.001328,0.06642,2.99E-08
0.0000003,-0.001281,0.06403,-2.419E-08
